Model,Overall MAE,Overall RMSE,Overall R2,Overall Bias,Low Demand MAE,Low Demand Bias,Medium Demand MAE,Medium Demand Bias,High Demand MAE,High Demand Bias,Extreme Demand MAE,Extreme Demand RMSE,Extreme Demand Bias,Promo Subset MAE,Promo Subset RMSE,Promo Subset Bias,Dual Promo (Both=1) MAE,Dual Promo (Both=1) Bias,Top 30 Volume MAE,Top 30 Volume Bias
Production XGBoost,72.14,158.04,0.8127,-8.25,26.29,21.66,52.55,11.02,114.92,-38.98,334.97,579.54,-232.11,154.43,346.47,-41.44,255.59,-109.31,4059.44,-4059.44
Experimental Promo XGBoost,70.73,153.51,0.8233,-9.65,25.74,21.51,50.37,7.22,115.24,-40.43,329.67,559.54,-216.36,148.13,332.16,-25.26,240.0,-65.57,3899.88,-3899.88
